,fileName,Title,Artist,Album,Genre,Release Date,Length
48,music\01 Yummy.mp3,Yummy,Justin Bieber,Yummy - Single,Pop,2020,3:30
49,music\02 Animals.mp3,Animals,Maroon 5,V,Pop,2014,3:51
50,music\02 bad guy.mp3,bad guy,Billie Eilish,"WHEN WE ALL FALL ASLEEP, WHERE DO WE GO?",Alternative,2019,3:14
51,music\02 Blank Space.mp3,Blank Space,Taylor Swift,1989,Pop,2014,3:51
52,music\02 Boy With Luv (feat. Halsey).mp3,Boy With Luv (feat. Halsey),BTS,MAP OF THE SOUL : PERSONA,K-Pop,2019,3:49
53,music\02 Do You Want to Build a Snowman_.mp3,Do You Want to Build a Snowman?,"Kristen Bell, Agatha Lee Monn & Katie Lopez",Frozen (Original Motion Picture Soundtrack),Musicals,2013,3:28
54,music\02 Locked Out of Heaven.mp3,Locked Out of Heaven,Bruno Mars,Unorthodox Jukebox,Pop,2012,3:53
55,music\02 Panini.mp3,Panini,Lil Nas X,7 - EP,Alternative,2019,1:54
56,music\02 Payphone (feat. Wiz Khalifa).mp3,Payphone (feat. Wiz Khalifa),Maroon 5,Overexposed (Deluxe Version),Pop,2012,3:51
57,music\02 Stitches.mp3,Stitches,Shawn Mendes,Handwritten (Revisited),Pop,2015,3:26
58,music\02 Stole the Show (feat. Parson James).mp3,Stole the Show (feat. Parson James),Kygo,Cloud Nine,Dance,2015,3:42
59,music\02 Stressed Out.mp3,Stressed Out,twenty one pilots,Blurryface,Alternative,2015,3:22
60,music\02 Watermelon Sugar.mp3,Watermelon Sugar,Harry Styles,Fine Line,Pop,2019,2:54
61,music\02 Young Dumb & Broke.mp3,Young Dumb & Broke,Khalid,American Teen,R&B/Soul,2017,3:22
62,music\03 Adore You.mp3,Adore You,Harry Styles,Fine Line,Pop,2019,3:27
63,music\03 Closer (feat. Halsey).mp3,Closer (feat. Halsey),The Chainsmokers,Collage - EP,Dance,2016,4:5
64,music\03 drivers license.mp3,drivers license,Olivia Rodrigo,SOUR,Pop,2021,4:2
65,music\03 For the First Time in Forever.mp3,For the First Time in Forever,Kristen Bell & Idina Menzel,Frozen (Original Motion Picture Soundtrack),Musicals,2013,3:45
66,music\03 Go Your Own Way.mp3,Go Your Own Way,Fleetwood Mac,Greatest Hits,Rock,1977,3:38
67,music\03 Heartless.mp3,Heartless,Kanye West,808s & Heartbreak,Hip-Hop/Rap,2008,3:31
68,music\03 Heathens.mp3,Heathens,twenty one pilots,Suicide Squad: The Album,Alternative,2016,3:15
69,music\03 Juice.mp3,Juice,Lizzo,Cuz I Love You,Pop,2019,3:15
70,music\03 Location.mp3,Location,Khalid,American Teen,R&B/Soul,2016,3:39
71,music\03 Mercy.mp3,Mercy,Shawn Mendes,Illuminate (Deluxe),Pop,2016,3:28
72,music\03 My Church.mp3,My Church,Maren Morris,Hero,Country,2016,3:18
73,music\03 Only Human.mp3,Only Human,Jonas Brothers,Happiness Begins,Pop,2019,3:3
74,music\03 Passionfruit.mp3,Passionfruit,Drake,More Life,Hip-Hop/Rap,2017,4:58
75,music\03 Ride.mp3,Ride,twenty one pilots,Blurryface,Alternative,2015,3:34
76,"music\03 Rocket Man (I Think It's Going to Be a Long, Long Time).mp3","Rocket Man (I Think It's Going to Be a Long, Long Time)",Elton John,Diamonds,Pop,1972,4:42
77,music\03 Shy Away.mp3,Shy Away,twenty one pilots,Scaled And Icy,Alternative,2021,2:55
78,music\03 Simple.mp3,Simple,Florida Georgia Line,Can't Say I Ain't Country,Country,2018,3:5
79,music\03 Snowman.mp3,Snowman,Sia,Everyday Is Christmas (Deluxe),Holiday,2017,2:45
